customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,2.28,480,720,Chicken Milanese & Creamy Pesto Fusilli|Pub-Style Turkey Shepherd's Pie
2,9.1,480,720,Fried Chicken BLT Sandwiches|Jalapeño Popper Grilled Cheese with Bacon Jam|Soy-Ginger Turkey Meatball Rice Bowls
3,9.47,0,1440,Fried Chicken BLT Sandwiches|Soy-Ginger Beef Meatball Rice Bowls
4,4.08,0,1440,Shawarma-Spiced Beef & Rice Bowls|Southwest Bavette Steak Fajita Tacos
5,4.74,0,1440,Crispy Parmesan Chicken & Bacon Linguine
6,3.45,720,960,Cheesy Southwest Chicken & Kale Rice|Super-Quick Chicken Spring Rolls & Mediterranean Salad
7,9.2,720,960,Southwest Shrimp Tacos|Greek Goddess Shrimp & Bulgur Bowls|BBQ Cheddar Burgers with Chipotle Mayo
8,7.44,720,960,Mexican-Spiced Salmon & Street Corn Rice Bowls|Cheesy Bacon Jam-Stuffed Organic Chicken|Beef Flautas Supreme
9,7.44,960,1200,Prep & Bake Dijon Pecan Organic Chicken
10,5.73,720,960,Coconut-Crusted Tilapia Sandwiches|Smoky Mustard Steak & Roasted Potatoes
11,9.31,720,960,Mexican-Spiced Chicken & Street Corn Rice Bowls|Silky Sicilian Penne & Sirloin Steak|Ponzu-Glazed Trout & Broccoli Tempura|Organic Chicken & Creamy Lemon Zucchini Orzo
12,2.96,480,720,Crispy Parmesan Chicken & Bacon Linguine|Cheesy Bacon Jam-Stuffed Chicken|Harvest Kale Salad with Shrimp|Pepita-Crusted Salmon
13,5.6,0,1440,One-Pan Cantina Shrimp Fajitas
14,3.8,720,960,BBQ Pineapple & Bacon Flatbreads
15,8.05,480,720,Hainanese-Style Roasted Chicken & Rice|Mexican-Spiced Shrimp & Street Corn Rice Bowls|Pear & Walnut-Stuffed Chicken|Crispy Organic Chicken & Bacon Alfredo
16,8.03,960,1200,Firehouse Cheeseburgers|One-Pot Loaded Three-Bean Chicken Chili
17,7.1,0,1440,BBQ Pineapple & Chicken Flatbreads|Fig & Bacon Chicken Lettuce Wraps
18,5.59,960,1200,Szechuan-Glazed Rib-Eye & Jasmine Rice
19,3.49,480,720,Butternut Agnolotti in Brown Butter & Parmesan|Crispy Chicken & Bacon Alfredo
20,5.5,480,720,"Warm Lentil, Carrot & Feta Salad|Ponzu-Glazed Trout & Broccoli Tempura"
21,8.07,960,1200,Shawarma Turkey & Turmeric Rice Bowls|Pesto Shrimp Salad Lettuce Wraps|Mushroom & Spinach Ramen with Chicken|Crispy Organic Chicken & Bacon Alfredo|Sheet Pan Crunchy Organic Chicken
22,8.18,0,1440,Silky Sicilian Penne with Shrimp|Thyme-Crusted Tilapia & Crème Fraîche Pan Sauce|Chicken Milanese & Creamy Pesto Fusilli
23,9.13,0,1440,Zucchini Pomodoro Fusilli Bake|Savory Paprika Tilapia with Rice & Beans
24,3.5,960,1200,Smashed Black Bean & Chicken Tostadas|Soy-Ginger Turkey Meatball Rice Bowls|Zesty Lemon-Parsley Trout|Steak Agnolotti in Brown Butter Sauce
25,9.78,960,1200,Mexican-Spiced Steak & Street Corn Rice Bowls|Crispy Kickin' Cayenne Chicken Cutlets
