customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,9.16,0,1440,Chicken with Cherry Pan Sauce|Pepita-Crusted Salmon
2,4.98,960,1200,"Southwest Steak Fajita Tacos|BBQ Pineapple & Shrimp Flatbreads|Mushroom & Spinach Ramen with Steak|Italian Chicken, Bacon & Pepper Sandos"
3,6.01,480,720,German Ranch Steak with Dijon Sauce|Southwest Steak Fajita Tacos|Savory Paprika Tilapia with Rice & Beans
4,4.08,480,720,Shawarma-Spiced Beef & Rice Bowls|Southwest Bavette Steak Fajita Tacos|Creamy Dill Sirloin Steak
5,4.74,720,960,Crispy Parmesan Chicken & Bacon Linguine|Prep & Bake Dijon Pecan Organic Chicken
6,3.45,720,960,Cheesy Southwest Chicken & Kale Rice|Super-Quick Chicken Spring Rolls & Mediterranean Salad
7,9.2,0,1440,Southwest Shrimp Tacos|Greek Goddess Shrimp & Bulgur Bowls|BBQ Cheddar Burgers with Chipotle Mayo|Harvest Kale & Roasted Brussels Salad|Super-Quick Chicken Spring Rolls & Mediterranean Salad|Sweet Thai Chili Barramundi
8,7.44,720,960,Mexican-Spiced Salmon & Street Corn Rice Bowls|Cheesy Bacon Jam-Stuffed Organic Chicken|Beef Flautas Supreme|Figgy Balsamic Pork
9,7.44,960,1200,Prep & Bake Dijon Pecan Organic Chicken|Szechuan-Glazed Rib-Eye & Jasmine Rice|Figgy Balsamic Steak
10,5.73,480,720,Coconut-Crusted Tilapia Sandwiches|Smoky Mustard Steak & Roasted Potatoes
11,9.31,720,960,Mexican-Spiced Chicken & Street Corn Rice Bowls|Silky Sicilian Penne & Sirloin Steak|Ponzu-Glazed Trout & Broccoli Tempura|Organic Chicken & Creamy Lemon Zucchini Orzo
12,2.96,480,720,Crispy Parmesan Chicken & Bacon Linguine|Cheesy Bacon Jam-Stuffed Chicken|Harvest Kale Salad with Shrimp|Pepita-Crusted Salmon|Creamy Lobster Pot Pie|Crispy Korean-Style BBQ Mushroom Sandwiches
13,5.6,960,1200,One-Pan Cantina Shrimp Fajitas
14,3.8,960,1200,BBQ Pineapple & Bacon Flatbreads|Harvest Kale & Roasted Brussels Salad
15,8.05,480,720,Hainanese-Style Roasted Chicken & Rice|Mexican-Spiced Shrimp & Street Corn Rice Bowls|Pear & Walnut-Stuffed Chicken|Crispy Organic Chicken & Bacon Alfredo|Silky Sicilian Gluten-Free Fresh Fusilli|Creamy Chicken Pot Pie
16,8.03,0,1440,Firehouse Cheeseburgers|One-Pot Loaded Three-Bean Chicken Chili
17,7.1,0,1440,BBQ Pineapple & Chicken Flatbreads|Fig & Bacon Chicken Lettuce Wraps
18,5.59,960,1200,Szechuan-Glazed Rib-Eye & Jasmine Rice|One-Pan Cantina Shrimp Fajitas|Harvest Kale Salad with Shrimp
19,3.49,720,960,Butternut Agnolotti in Brown Butter & Parmesan|Crispy Chicken & Bacon Alfredo|Silky Sicilian Penne with Shrimp|Creamy Dill Ranch Steak
20,5.5,0,1440,"Warm Lentil, Carrot & Feta Salad|Ponzu-Glazed Trout & Broccoli Tempura|Chicken, Sweet Potato & Pepper Quesadillas|Steak with Peppercorn Sauce & Brussels"
