customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,2.78,480,720,Sweet Soy Salmon & Chili Roasted Green Bean Bowls|Pub-Style Shepherd's Pie|Onion Crunch Organic Chicken
2,3.4,960,1200,Figgy Balsamic Steak|Jalapeño Popper Grilled Cheese with Bacon Jam|Chicken with Cherry Pan Sauce
3,2.96,960,1200,Smoky Chipotle Turkey Burrito Bowls|Figgy Balsamic Chicken|Pan-Seared Sirloin Steak & Rosemary Potatoes|Szechuan-Glazed Chicken & Jasmine Rice|Sweet & Spicy Beef Fried Rice|Peachy Gochujang Chicken Wraps
4,7.57,720,960,Creamy Chicken Pot Pie|Curried Chicken & Roasted Sweet Potato Jumble|Harvest Kale Salad with Chicken|Super-Quick Chicken Spring Rolls & Mediterranean Salad
5,7.5,720,960,Low-Lift Romesco Chicken & Garlic Herb Orzo|Onion Crunch Chicken|Silky Sicilian Penne with Chicken Sausage|Savory Mushroom & Spinach Ramen|Savory Paprika Tilapia with Rice & Beans|Creamy Lobster Pot Pie
6,7.78,720,960,Organic Chicken & Creamy Lemon Zucchini Orzo|Shawarma Chicken & Turmeric Rice Bowls|Zucchini Pomodoro Fusilli Bake|Crispy Korean-Style BBQ Mushroom Sandwiches
7,3.76,480,720,Sweet Potato & Bacon Quesadillas|Argentinian Chicken|Ponzu-Glazed Trout & Broccoli Tempura|Shawarma Chicken & Turmeric Rice Bowls|Spicy Peruvian Chicken|BBQ Cheddar Burgers with Chipotle Mayo
8,5.22,0,1440,"BBQ Flatbreads & Chicken Sausage|Pepita-Crusted Salmon|Sweet & Tangy Tempura Chicken Sandos|Sweet Potato & Steak Quesadillas|Lemon Herb Salmon & Couscous|Chicken, Sweet Potato & Pepper Quesadillas"
9,9.79,480,720,Lemon Herb Salmon & Couscous|Mushroom & Spinach Ramen with Chicken|Onion Crunch Chicken
10,9.69,0,1440,Firehouse Cheeseburgers|Jalapeño Popper Grilled Cheese with Bacon Jam|Zucchini & Turkey Pomodoro Penne Bake|One-Pan Cantina Shrimp Fajitas
