customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,7.57,0,1440,Shrimp & Greek Salad Pita Pockets|Melty Double Red Pepper & Bacon Panini
2,8.01,720,960,Pan-Seared Sirloin Steak & Rosemary Potatoes|Chicken with Cherry Pan Sauce|Sweet Potato & Steak Quesadillas
3,2.18,480,720,Za'atar Feta & Chicken Pita Pockets
4,8.14,0,1440,Dark Meat Chicken Quesadillas with Mango Salsa|Fried Chicken BLT Sandwiches
5,4.77,720,960,"Steak Salad & Tangy Red Pepper Vinaigrette|Bacon, Sweet Potato & Pepper Quesadillas|Szechuan Pork Noodle Stir-Fry"
6,2.25,720,960,Dijon Dill Chicken
7,4.25,720,960,Southwest Steak Fajita Tacos
8,2.82,960,1200,Shawarma Turkey & Turmeric Rice Bowls|Peachy Gochujang Pork Wraps
9,2.41,960,1200,Creamy Dill Sirloin Steak|Spicy Peruvian Organic Chicken|Smoky Mustard Pork Chops & Roasted Potatoes
10,6.89,0,1440,Gouda-Stuffed Pork Meatloaves
11,6.05,960,1200,Figgy Balsamic Pork
12,2.1,480,720,Smashed Black Bean & Chicken Tostadas|BBQ Flatbreads & Chicken Sausage
13,8.12,480,720,Shawarma Chicken & Turmeric Rice Bowls
14,6.48,960,1200,Silky Sicilian Gluten-Free Fresh Fusilli|Sweet Thai Chili Barramundi|Pan-Seared Sirloin Steak & Rosemary Potatoes
15,9.26,720,960,Turkey Lomo Saltado|Fig & Bacon Chicken Lettuce Wraps|Organic Chicken Milanese & Pesto Penne|Lemon Herb Salmon & Couscous|Za'atar Feta & Chicken Pita Pockets|Sweet & Smoky Chicken
16,9.96,480,720,Silky Sicilian Penne with Chicken Sausage
17,4.34,720,960,Walnut Pesto Scallops & Purple Sweet Potato Puree
18,4.78,720,960,Pesto Chicken Salad Lettuce Wraps|Harvest Kale Salad with Bacon
19,4.26,480,720,Shrimp Spaghetti with a Kick
20,2.55,720,960,Sweet Potato & Bacon Quesadillas
21,5.27,0,1440,Sweet Potato & Bacon Quesadillas|Szechuan Pork Noodle Stir-Fry|Red Curry Lo Mein Stir-Fry & Candied Peanuts|Pub-Style Turkey Shepherd's Pie
22,2.83,0,1440,"Crispy Tofu Sesame Lo Mein|Turkey, Sweet Potato & Pepper Quesadillas"
23,9.59,720,960,Mexican-Spiced Steak & Street Corn Rice Bowls
24,2.7,0,1440,BBQ Cheddar Turkeyburgers & Chipotle Mayo|Silky Sicilian Gluten-Free Fresh Fusilli
25,7.27,0,1440,One-Pan Cheesy Beef Tortilla Melts
26,9.51,720,960,Prep & Bake Cheesy Tomato Ravioli
27,9.12,720,960,Ponzu-Glazed Trout & Broccoli Tempura|Greek Goddess Steak & Bulgur Bowls
28,6.19,960,1200,Thyme-Crusted Tilapia & Crème Fraîche Pan Sauce|Mexican-Spiced Shrimp & Street Corn Rice Bowls
29,6.44,960,1200,Sweet Thai Chili Salmon
30,6.51,480,720,Mushroom & Spinach Ramen with Beef
31,3.95,960,1200,Crispy Organic Chicken & Bacon Alfredo
32,4.7,960,1200,"Italian Chicken, Bacon & Pepper Sandos"
33,7.9,0,1440,Gouda-Stuffed Pork Meatloaves|Figgy Balsamic Steak|Pan-Seared Chicken & Rosemary Potatoes
34,8.85,480,720,Cheesy Bacon Jam-Stuffed Chicken
35,2.38,960,1200,Organic Chicken & Spinach Caprese Salad|One-Pan French Onion Orzotto|BBQ Pineapple & Shrimp Flatbreads
